,ret
2024-09-10 00:00:00+00:00,0.0
2024-09-11 00:00:00+00:00,0.0
2024-09-12 00:00:00+00:00,0.0
2024-09-13 00:00:00+00:00,0.0
2024-09-14 00:00:00+00:00,0.0
2024-09-15 00:00:00+00:00,0.0
2024-09-16 00:00:00+00:00,0.0
2024-09-17 00:00:00+00:00,0.0
2024-09-18 00:00:00+00:00,0.0
2024-09-19 00:00:00+00:00,0.0
2024-09-20 00:00:00+00:00,0.0
2024-09-21 00:00:00+00:00,0.0
2024-09-22 00:00:00+00:00,0.0
2024-09-23 00:00:00+00:00,0.0
2024-09-24 00:00:00+00:00,0.0
2024-09-25 00:00:00+00:00,0.0
2024-09-26 00:00:00+00:00,0.0
2024-09-27 00:00:00+00:00,0.0
2024-09-28 00:00:00+00:00,0.0
2024-09-29 00:00:00+00:00,0.0
2024-09-30 00:00:00+00:00,0.0
2024-10-01 00:00:00+00:00,0.0
2024-10-02 00:00:00+00:00,0.0
2024-10-03 00:00:00+00:00,0.0
2024-10-04 00:00:00+00:00,0.0
2024-10-05 00:00:00+00:00,0.0
2024-10-06 00:00:00+00:00,0.0
2024-10-07 00:00:00+00:00,0.0
2024-10-08 00:00:00+00:00,0.0
2024-10-09 00:00:00+00:00,0.0
2024-10-10 00:00:00+00:00,0.0
2024-10-11 00:00:00+00:00,0.0
2024-10-12 00:00:00+00:00,0.0
2024-10-13 00:00:00+00:00,0.0
2024-10-14 00:00:00+00:00,0.0
2024-10-15 00:00:00+00:00,0.0
2024-10-16 00:00:00+00:00,0.0
2024-10-17 00:00:00+00:00,0.0
2024-10-18 00:00:00+00:00,0.0
2024-10-19 00:00:00+00:00,0.0
2024-10-20 00:00:00+00:00,0.0
2024-10-21 00:00:00+00:00,0.0
2024-10-22 00:00:00+00:00,0.0
2024-10-23 00:00:00+00:00,0.0
2024-10-24 00:00:00+00:00,0.0
2024-10-25 00:00:00+00:00,0.0
2024-10-26 00:00:00+00:00,0.0
2024-10-27 00:00:00+00:00,0.0
2024-10-28 00:00:00+00:00,0.0
2024-10-29 00:00:00+00:00,0.0
2024-10-30 00:00:00+00:00,0.0
2024-10-31 00:00:00+00:00,0.0
2024-11-01 00:00:00+00:00,-0.0007000000000000001
2024-11-02 00:00:00+00:00,0.00015000000000000001
2024-11-03 00:00:00+00:00,0.00015000000000000001
2024-11-04 00:00:00+00:00,0.00015000000000000001
2024-11-05 00:00:00+00:00,0.00015000000000000001
2024-11-06 00:00:00+00:00,0.00015000000000000001
2024-11-07 00:00:00+00:00,0.00015000000000000001
2024-11-08 00:00:00+00:00,0.00015000000000000001
2024-11-09 00:00:00+00:00,0.00015000000000000001
2024-11-10 00:00:00+00:00,0.00024858
2024-11-11 00:00:00+00:00,0.00028439
2024-11-12 00:00:00+00:00,0.00065812
2024-11-13 00:00:00+00:00,0.00022478500000000002
2024-11-14 00:00:00+00:00,0.00015000000000000001
2024-11-15 00:00:00+00:00,0.000154885
2024-11-16 00:00:00+00:00,0.00016615500000000002
2024-11-17 00:00:00+00:00,0.00018171
2024-11-18 00:00:00+00:00,0.00033884
2024-11-19 00:00:00+00:00,0.000348905
2024-11-20 00:00:00+00:00,0.00015000000000000001
2024-11-21 00:00:00+00:00,0.00015000000000000001
2024-11-22 00:00:00+00:00,0.00015000000000000001
2024-11-23 00:00:00+00:00,0.00015000000000000001
2024-11-24 00:00:00+00:00,0.00024688
2024-11-25 00:00:00+00:00,0.00028134
2024-11-26 00:00:00+00:00,0.00034718499999999996
2024-11-27 00:00:00+00:00,0.00029
2024-11-28 00:00:00+00:00,0.00018092500000000002
2024-11-29 00:00:00+00:00,0.000271435
2024-11-30 00:00:00+00:00,0.00018986
2024-12-01 00:00:00+00:00,0.00022741000000000002
2024-12-02 00:00:00+00:00,0.000318345
2024-12-03 00:00:00+00:00,0.000248285
2024-12-04 00:00:00+00:00,0.00038061
2024-12-05 00:00:00+00:00,0.00073565
2024-12-06 00:00:00+00:00,0.00017317
2024-12-07 00:00:00+00:00,0.00029218
2024-12-08 00:00:00+00:00,0.00025568499999999996
2024-12-09 00:00:00+00:00,0.0003128
2024-12-10 00:00:00+00:00,0.00015000000000000001
2024-12-11 00:00:00+00:00,0.00015000000000000001
2024-12-12 00:00:00+00:00,0.00015000000000000001
2024-12-13 00:00:00+00:00,0.00015000000000000001
2024-12-14 00:00:00+00:00,0.00013375
2024-12-15 00:00:00+00:00,0.00014097
2024-12-16 00:00:00+00:00,0.000145905
2024-12-17 00:00:00+00:00,0.00013933
2024-12-18 00:00:00+00:00,0.000145795
2024-12-19 00:00:00+00:00,0.00015000000000000001
2024-12-20 00:00:00+00:00,0.00015000000000000001
2024-12-21 00:00:00+00:00,0.00010603000000000001
2024-12-22 00:00:00+00:00,0.000148145
2024-12-23 00:00:00+00:00,0.000144905
2024-12-24 00:00:00+00:00,0.00015000000000000001
2024-12-25 00:00:00+00:00,0.00015000000000000001
2024-12-26 00:00:00+00:00,0.000129325
2024-12-27 00:00:00+00:00,0.00015000000000000001
2024-12-28 00:00:00+00:00,0.00011406
2024-12-29 00:00:00+00:00,0.000140065
2024-12-30 00:00:00+00:00,9.3745e-05
2024-12-31 00:00:00+00:00,-0.0007000000000000001
